Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   Egz.   
Vardas77            Pavarde77           5      6      5      7      9      2      7      4      4      2      4      
Vardas78            Pavarde78           5      6      9      5      6      4      8      9      5      1      7      
Vardas79            Pavarde79           10     9      9      2      5      1      10     3      5      9      3      
Vardas80            Pavarde80           1      6      9      4      2      4      9      8      10     10     9      
Vardas81            Pavarde81           9      10     9      8      6      10     9      5      2      8      10     
Vardas82            Pavarde82           1      3      8      1      1      7      9      9      5      1      1      
Vardas83            Pavarde83           7      6      8      2      7      4      5      6      4      9      5      
Vardas84            Pavarde84           9      2      4      3      1      1      5      1      7      3      4      
Vardas85            Pavarde85           9      6      4      2      2      1      4      9      3      1      5      
Vardas86            Pavarde86           8      3      3      9      9      7      10     8      7      6      4      
Vardas87            Pavarde87           4      10     4      7      3      10     5      9      7      8      7      
Vardas88            Pavarde88           4      1      7      9      7      10     5      9      2      2      1      
Vardas89            Pavarde89           10     8      7      7      5      9      8      10     4      5      8      
Vardas90            Pavarde90           1      1      6      3      2      2      6      2      3      4      4      
Vardas91            Pavarde91           5      5      7      9      1      5      7      5      6      4      7      
Vardas92            Pavarde92           7      4      7      4      2      9      9      2      6      8      3      
Vardas93            Pavarde93           2      8      9      6      2      10     10     8      7      10     10     
Vardas94            Pavarde94           4      5      4      3      6      5      7      2      3      3      8      
Vardas95            Pavarde95           9      2      6      2      8      1      8      1      7      9      1      
Vardas96            Pavarde96           6      7      1      2      3      6      9      3      2      10     7      
Vardas97            Pavarde97           2      4      8      5      8      3      6      2      10     8      9      
Vardas98            Pavarde98           2      6      5      1      3      1      4      9      1      7      10     
Vardas99            Pavarde99           9      3      5      6      1      1      8      6      6      10     3      
Vardas100           Pavarde100          7      1      1      10     7      10     8      10     6      7      8      
Vardas101           Pavarde101          3      7      4      3      4      3      8      2      10     3      10     
Vardas102           Pavarde102          9      9      2      1      8      4      5      7      8      9      10     
Vardas103           Pavarde103          2      8      5      10     4      5      1      5      4      3      6      
Vardas104           Pavarde104          5      10     9      7      9      6      7      6      4      1      5      
Vardas105           Pavarde105          7      3      10     6      6      3      1      2      3      1      8      
Vardas106           Pavarde106          6      9      7      8      2      4      9      4      4      4      8      
Vardas107           Pavarde107          9      3      2      2      7      4      2      8      8      4      6      
Vardas108           Pavarde108          1      3      5      5      2      6      7      10     2      7      5      
Vardas109           Pavarde109          5      6      7      4      8      1      9      6      2      1      10     
Vardas110           Pavarde110          8      4      10     8      4      1      6      1      5      5      4      
Vardas111           Pavarde111          1      9      8      9      8      4      3      8      2      1      9      
Vardas112           Pavarde112          5      1      5      5      8      6      5      1      8      7      1      
Vardas113           Pavarde113          3      10     6      9      6      6      7      5      10     6      10     
Vardas114           Pavarde114          8      9      6      8      3      5      1      1      2      6      5      
Vardas115           Pavarde115          3      6      5      8      7      3      5      7      5      8      1      
Vardas116           Pavarde116          3      2      8      4      4      4      4      7      10     7      5      
Vardas117           Pavarde117          10     8      10     6      10     1      1      7      5      3      4      
Vardas118           Pavarde118          9      8      5      9      7      4      7      10     10     7      8      
Vardas119           Pavarde119          10     5      8      10     7      6      7      4      5      6      10     
Vardas120           Pavarde120          5      3      7      8      3      4      8      9      6      6      1      
Vardas121           Pavarde121          10     10     1      5      1      7      7      5      6      7      3      
Vardas122           Pavarde122          6      6      4      8      7      6      7      2      2      3      6      
Vardas123           Pavarde123          5      5      4      9      1      2      7      9      8      5      3      
Vardas124           Pavarde124          8      4      4      7      10     1      9      4      9      3      9      
Vardas125           Pavarde125          9      8      7      7      9      7      10     9      4      4      7      
Vardas126           Pavarde126          8      5      7      8      4      1      10     10     3      8      6      
Vardas127           Pavarde127          5      1      9      2      5      8      4      4      7      8      6      
Vardas128           Pavarde128          1      2      2      8      1      1      1      2      3      8      2      
Vardas129           Pavarde129          4      6      10     3      2      4      7      10     1      4      3      
Vardas130           Pavarde130          1      6      9      6      3      4      2      1      6      1      4      
Vardas131           Pavarde131          1      5      10     1      8      1      9      1      1      1      1      
Vardas132           Pavarde132          7      3      10     2      4      1      7      9      5      4      10     
Vardas133           Pavarde133          2      10     2      7      6      8      9      3      4      3      7      
Vardas134           Pavarde134          9      3      1      6      2      3      6      7      5      3      6      
Vardas135           Pavarde135          9      10     10     8      4      2      2      1      7      4      6      
Vardas136           Pavarde136          7      5      6      1      8      10     9      6      9      10     7      
Vardas137           Pavarde137          2      2      10     9      3      5      4      10     1      9      8      
Vardas138           Pavarde138          9      5      4      7      3      7      4      4      8      1      7      
Vardas139           Pavarde139          4      9      10     1      2      3      2      1      4      9      1      
Vardas140           Pavarde140          5      3      2      1      3      9      6      2      2      5      7      
Vardas141           Pavarde141          10     7      4      9      3      8      4      2      5      6      10     
Vardas142           Pavarde142          8      3      1      6      1      6      8      8      9      9      2      
Vardas143           Pavarde143          9      5      7      6      6      2      4      9      9      7      8      
Vardas144           Pavarde144          10     7      1      7      3      7      1      7      1      6      3      
Vardas145           Pavarde145          3      5      2      7      2      7      4      2      2      7      7      
Vardas146           Pavarde146          7      2      7      4      9      6      10     7      1      9      10     
Vardas147           Pavarde147          1      7      9      3      6      6      4      10     9      6      4      
Vardas148           Pavarde148          3      6      4      10     3      2      10     4      4      2      7      
Vardas149           Pavarde149          6      8      6      9      1      3      7      9      2      3      3      
Vardas150           Pavarde150          4      9      10     5      9      9      7      9      2      6      9      
Vardas151           Pavarde151          4      2      9      2      1      7      9      3      9      3      7      
Vardas152           Pavarde152          6      8      8      6      4      5      7      9      8      3      8      
Vardas153           Pavarde153          9      6      5      8      2      2      2      1      8      1      9      
Vardas154           Pavarde154          8      9      6      8      3      2      2      10     9      2      4      
Vardas155           Pavarde155          5      3      9      9      7      1      7      5      1      10     9      
Vardas156           Pavarde156          1      1      6      4      3      7      7      6      10     4      3      
Vardas157           Pavarde157          2      4      7      3      6      1      5      4      10     9      3      
Vardas158           Pavarde158          8      4      7      2      1      9      10     10     6      9      3      
Vardas159           Pavarde159          5      10     2      10     8      2      2      6      2      9      4      
Vardas160           Pavarde160          1      5      5      8      5      5      10     1      1      2      5      
Vardas161           Pavarde161          3      7      2      2      2      4      4      10     8      3      3      
Vardas162           Pavarde162          6      4      3      7      4      7      2      8      1      9      4      
Vardas163           Pavarde163          7      10     1      4      6      3      3      9      4      6      8      
Vardas164           Pavarde164          5      3      3      5      3      7      9      7      5      5      7      
Vardas165           Pavarde165          4      2      3      10     6      9      8      1      6      2      7      
Vardas166           Pavarde166          4      3      2      4      6      6      5      2      4      7      8      
Vardas167           Pavarde167          5      3      9      7      2      3      1      9      3      8      5      
Vardas168           Pavarde168          1      10     3      2      1      2      4      6      6      10     8      
Vardas169           Pavarde169          1      10     1      5      7      6      6      5      7      1      7      
Vardas170           Pavarde170          8      7      4      8      3      9      4      3      10     10     3      
Vardas171           Pavarde171          2      9      2      3      6      10     8      8      6      3      5      
Vardas172           Pavarde172          4      6      2      8      2      6      8      1      3      3      4      
Vardas173           Pavarde173          7      3      1      7      3      5      3      4      7      1      5      
Vardas174           Pavarde174          9      3      10     6      10     3      6      2      1      2      8      
Vardas175           Pavarde175          3      3      3      3      3      7      3      5      2      6      1      
Vardas176           Pavarde176          10     2      8      7      8      9      2      8      10     4      1      
Vardas177           Pavarde177          2      7      8      5      8      7      8      2      6      6      9      
Vardas178           Pavarde178          10     6      3      5      6      6      8      5      4      6      9      
Vardas179           Pavarde179          9      2      10     7      4      10     6      10     2      4      8      
Vardas180           Pavarde180          1      5      4      4      4      2      8      7      3      5      3      
Vardas181           Pavarde181          1      2      6      3      3      3      8      8      3      7      2      
Vardas182           Pavarde182          7      3      5      2      1      7      5      2      2      5      5      
Vardas183           Pavarde183          5      7      7      4      5      5      6      7      10     1      9      
Vardas184           Pavarde184          3      8      2      10     8      6      5      10     9      6      8      
Vardas185           Pavarde185          4      2      9      7      10     4      1      2      1      8      6      
Vardas186           Pavarde186          3      10     4      9      4      9      1      6      5      6      1      
Vardas187           Pavarde187          3      7      8      7      5      9      10     5      2      1      7      
Vardas188           Pavarde188          3      8      9      8      4      8      9      10     3      1      7      
Vardas189           Pavarde189          1      9      8      8      2      6      6      3      8      2      9      
Vardas190           Pavarde190          8      6      3      9      7      9      10     10     7      6      1      
Vardas191           Pavarde191          3      3      7      8      3      8      4      8      10     5      3      
Vardas192           Pavarde192          8      4      5      8      5      9      8      10     3      2      6      
Vardas193           Pavarde193          10     2      5      2      5      4      4      3      10     4      1      
Vardas194           Pavarde194          10     10     9      5      1      5      6      1      9      2      8      
Vardas195           Pavarde195          9      7      5      6      10     6      5      2      5      6      8      
Vardas196           Pavarde196          10     2      8      9      3      4      7      8      9      10     1      
Vardas197           Pavarde197          9      4      4      1      8      1      8      3      3      2      8      
Vardas198           Pavarde198          5      7      1      8      3      9      3      7      6      7      5      
Vardas199           Pavarde199          5      6      4      6      4      9      7      5      4      1      7      
Vardas200           Pavarde200          3      5      5      3      2      8      10     2      2      4      4      
Vardas201           Pavarde201          10     6      2      3      3      1      9      6      4      10     9      
Vardas202           Pavarde202          7      4      4      3      1      6      1      2      5      5      7      
Vardas203           Pavarde203          5      8      7      5      9      8      7      2      3      4      4      
Vardas204           Pavarde204          3      6      5      8      8      9      7      4      6      2      1      
Vardas205           Pavarde205          3      5      2      3      2      7      1      2      3      7      9      
Vardas206           Pavarde206          9      5      6      5      1      8      3      1      2      5      1      
Vardas207           Pavarde207          9      9      9      1      2      2      4      7      4      7      7      
Vardas208           Pavarde208          6      7      5      9      6      4      2      1      3      9      4      
Vardas209           Pavarde209          1      4      4      8      1      8      10     3      10     9      10     
Vardas210           Pavarde210          1      1      2      5      1      4      6      4      10     7      8      
Vardas211           Pavarde211          5      8      5      5      8      8      4      5      3      8      6      
Vardas212           Pavarde212          9      10     7      5      6      8      5      10     10     10     9      
Vardas213           Pavarde213          9      9      7      10     8      9      5      9      5      3      6      
Vardas214           Pavarde214          8      3      2      2      4      10     2      5      4      1      1      
Vardas215           Pavarde215          2      10     1      8      8      1      2      4      3      6      7      
Vardas216           Pavarde216          3      7      8      3      4      8      8      6      6      3      6      
Vardas217           Pavarde217          2      1      6      4      10     9      4      2      2      9      2      
Vardas218           Pavarde218          1      10     1      8      4      9      8      9      2      4      3      
Vardas219           Pavarde219          7      2      8      7      9      7      8      2      10     1      2      
Vardas220           Pavarde220          7      4      7      5      10     10     5      5      6      5      3      
Vardas221           Pavarde221          2      2      5      3      6      2      7      8      8      4      9      
Vardas222           Pavarde222          6      1      7      1      9      9      3      6      1      3      6      
Vardas223           Pavarde223          2      2      8      10     2      4      7      3      4      4      8      
Vardas224           Pavarde224          1      9      9      9      10     10     10     3      4      1      2      
Vardas225           Pavarde225          5      2      5      7      3      5      6      4      7      10     8      
Vardas226           Pavarde226          6      3      7      6      8      2      1      10     9      5      7      
Vardas227           Pavarde227          6      2      3      10     5      1      8      10     8      1      6      
Vardas228           Pavarde228          1      8      8      2      2      1      3      4      1      9      10     
Vardas229           Pavarde229          2      4      6      9      10     6      5      4      4      8      5      
Vardas230           Pavarde230          10     2      4      3      1      4      5      3      2      8      1      
Vardas231           Pavarde231          6      1      3      7      4      10     10     2      2      4      7      
Vardas232           Pavarde232          2      4      2      2      9      5      8      9      5      3      7      
Vardas233           Pavarde233          10     5      1      7      7      8      7      5      10     9      7      
Vardas234           Pavarde234          5      7      6      4      7      1      10     8      10     1      8      
Vardas235           Pavarde235          8      10     10     1      5      7      9      1      1      7      6      
Vardas236           Pavarde236          9      3      7      7      6      6      7      2      8      8      9      
Vardas237           Pavarde237          8      3      6      4      4      8      10     8      2      6      5      
Vardas238           Pavarde238          1      4      7      6      8      2      2      1      5      3      7      
Vardas239           Pavarde239          5      7      2      3      5      4      10     4      5      3      10     
Vardas240           Pavarde240          6      10     3      1      1      4      4      9      1      5      2      
Vardas241           Pavarde241          3      3      4      10     1      4      3      5      8      4      7      
Vardas242           Pavarde242          3      1      5      7      1      3      1      5      9      1      6      
Vardas243           Pavarde243          7      10     3      4      10     1      7      4      8      3      10     
Vardas244           Pavarde244          8      7      8      8      6      2      2      4      9      7      10     
Vardas245           Pavarde245          3      1      8      3      4      10     6      1      6      9      5      
Vardas246           Pavarde246          3      4      5      3      9      7      8      4      7      3      2      
Vardas247           Pavarde247          5      8      8      10     8      6      2      8      5      3      3      
Vardas248           Pavarde248          2      10     4      8      6      3      2      8      3      8      1      
Vardas249           Pavarde249          10     10     5      8      10     9      7      3      9      7      2      
Vardas250           Pavarde250          7      4      2      4      5      5      7      7      5      9      4      
Vardas251           Pavarde251          9      4      8      3      3      4      9      7      10     9      9      
Vardas252           Pavarde252          6      5      1      3      8      5      4      3      4      9      10     
Vardas253           Pavarde253          10     1      4      10     4      6      1      3      8      5      5      
Vardas254           Pavarde254          8      10     7      4      3      8      1      3      3      10     1      
Vardas255           Pavarde255          3      8      6      4      8      1      6      10     5      10     5      
Vardas256           Pavarde256          5      1      2      9      5      2      1      9      10     4      3      
Vardas257           Pavarde257          10     10     10     8      5      6      4      4      1      3      2      
Vardas258           Pavarde258          3      6      6      8      8      7      4      5      7      3      8      
Vardas259           Pavarde259          3      3      4      10     8      10     4      6      2      8      7      
Vardas260           Pavarde260          5      6      1      7      8      10     2      3      4      3      2      
Vardas261           Pavarde261          1      5      1      6      1      9      3      4      9      8      9      
Vardas262           Pavarde262          7      7      2      9      10     2      9      3      4      6      2      
Vardas263           Pavarde263          7      9      7      3      5      1      4      7      9      6      10     
Vardas264           Pavarde264          7      7      4      1      1      6      1      9      4      3      6      
Vardas265           Pavarde265          10     8      4      7      8      1      1      2      3      4      2      
Vardas266           Pavarde266          2      7      6      7      6      1      5      2      7      3      3      
Vardas267           Pavarde267          1      7      2      5      4      6      2      4      9      7      1      
Vardas268           Pavarde268          7      10     2      7      8      9      8      6      2      6      8      
Vardas269           Pavarde269          3      1      10     1      9      5      5      2      8      2      10     
Vardas270           Pavarde270          1      3      9      5      8      2      4      7      10     3      2      
Vardas271           Pavarde271          6      1      3      4      5      1      4      6      7      9      2      
Vardas272           Pavarde272          7      5      3      4      10     8      4      2      4      7      5      
Vardas273           Pavarde273          4      5      4      8      1      6      5      5      7      3      6      
Vardas274           Pavarde274          4      9      6      4      9      3      9      7      3      4      2      
Vardas275           Pavarde275          1      7      3      5      9      7      10     1      8      7      10     
Vardas276           Pavarde276          7      5      6      10     8      8      10     2      6      4      3      
Vardas277           Pavarde277          6      8      4      10     2      10     8      6      8      5      1      
Vardas278           Pavarde278          10     8      7      1      7      4      8      3      7      7      1      
Vardas279           Pavarde279          1      4      3      2      2      10     7      10     1      9      3      
Vardas280           Pavarde280          7      9      1      6      5      10     10     5      1      7      1      
Vardas281           Pavarde281          5      10     2      2      10     3      1      6      10     5      7      
Vardas282           Pavarde282          6      10     8      7      7      6      1      2      8      6      3      
Vardas283           Pavarde283          6      4      7      4      5      6      6      5      3      10     4      
Vardas284           Pavarde284          6      3      4      4      9      8      10     3      10     3      10     
Vardas285           Pavarde285          7      5      3      2      9      10     6      7      10     1      6      
Vardas286           Pavarde286          7      2      3      3      7      1      1      10     10     9      4      
Vardas287           Pavarde287          5      9      5      4      10     4      8      2      5      6      6      
Vardas288           Pavarde288          9      1      8      10     7      10     9      6      1      7      4      
Vardas289           Pavarde289          10     9      3      10     5      8      7      7      3      8      6      
Vardas290           Pavarde290          2      8      2      5      8      4      5      2      7      9      1      
Vardas291           Pavarde291          1      2      2      6      3      10     6      4      1      9      6      
Vardas292           Pavarde292          10     2      5      10     9      9      7      10     2      8      8      
Vardas293           Pavarde293          6      5      6      1      10     9      7      4      1      2      1      
Vardas294           Pavarde294          9      10     7      8      3      2      9      2      3      10     10     
Vardas295           Pavarde295          9      5      10     4      1      1      8      4      10     9      2      
Vardas296           Pavarde296          7      6      2      6      1      2      9      4      10     8      7      
Vardas297           Pavarde297          10     8      7      9      6      6      3      7      5      7      9      
Vardas298           Pavarde298          7      5      3      10     10     3      4      7      1      8      8      
Vardas299           Pavarde299          2      4      10     5      3      4      8      7      2      1      2      
Vardas300           Pavarde300          10     3      6      4      10     10     10     6      3      7      10     
Vardas301           Pavarde301          10     10     7      1      6      2      4      7      7      9      7      
Vardas302           Pavarde302          2      10     1      3      2      4      9      4      3      8      6      
Vardas303           Pavarde303          8      9      3      7      9      6      6      3      2      10     7      
Vardas304           Pavarde304          4      6      6      7      6      10     9      6      5      2      5      
Vardas305           Pavarde305          8      9      10     2      5      8      1      4      9      1      2      
Vardas306           Pavarde306          8      3      9      5      4      2      4      10     10     6      8      
Vardas307           Pavarde307          10     3      10     7      3      7      2      9      3      9      10     
Vardas308           Pavarde308          9      1      9      10     3      4      6      4      4      7      7      
Vardas309           Pavarde309          5      4      7      9      3      8      2      10     9      1      2      
Vardas310           Pavarde310          1      7      8      1      3      8      3      5      7      9      6      
Vardas311           Pavarde311          7      10     7      3      2      2      1      7      9      4      7      
Vardas312           Pavarde312          8      9      5      8      5      9      5      3      1      1      10     
Vardas313           Pavarde313          1      3      10     5      3      9      3      8      1      3      4      
Vardas314           Pavarde314          3      10     9      6      7      5      1      3      4      6      6      
Vardas315           Pavarde315          10     3      4      4      5      8      1      4      4      2      7      
Vardas316           Pavarde316          9      6      10     2      2      5      8      6      8      4      9      
Vardas317           Pavarde317          9      9      2      10     4      10     3      5      5      4      3      
Vardas318           Pavarde318          6      9      1      3      8      5      6      2      2      10     6      
Vardas319           Pavarde319          2      7      9      9      1      7      3      6      1      8      7      
Vardas320           Pavarde320          8      1      4      7      1      10     2      8      7      7      5      
Vardas321           Pavarde321          7      6      4      4      10     9      6      10     10     7      7      
Vardas322           Pavarde322          6      4      5      4      6      8      2      1      1      6      10     
Vardas323           Pavarde323          9      2      2      1      5      6      9      3      5      9      6      
Vardas324           Pavarde324          6      8      6      1      10     9      6      3      4      7      5      
Vardas325           Pavarde325          4      6      4      10     9      6      1      9      3      8      6      
Vardas326           Pavarde326          7      7      5      1      7      4      10     1      6      7      2      
Vardas327           Pavarde327          8      10     8      7      1      9      5      3      1      9      1      
Vardas328           Pavarde328          2      6      7      8      7      5      8      2      4      8      8      
Vardas329           Pavarde329          10     3      5      1      10     1      4      7      4      6      4      
Vardas330           Pavarde330          2      2      7      10     8      9      3      3      2      2      2      
Vardas331           Pavarde331          9      10     8      2      1      10     2      5      7      3      4      
Vardas332           Pavarde332          6      5      6      9      1      7      5      5      1      9      6      
Vardas333           Pavarde333          6      4      5      6      6      2      2      10     10     3      1      
Vardas334           Pavarde334          10     1      10     7      3      10     2      2      10     7      9      
Vardas335           Pavarde335          2      6      3      8      6      9      7      5      7      6      6      
Vardas336           Pavarde336          6      2      2      2      5      1      6      8      4      2      2      
Vardas337           Pavarde337          5      8      3      4      8      5      9      2      6      1      9      
Vardas338           Pavarde338          3      4      3      4      3      6      2      6      8      10     6      
Vardas339           Pavarde339          4      4      5      7      1      3      6      5      3      4      1      
Vardas340           Pavarde340          2      2      5      5      9      10     6      6      4      5      6      
Vardas341           Pavarde341          4      8      9      8      3      6      9      2      4      9      3      
Vardas342           Pavarde342          6      2      10     2      2      7      3      6      4      9      3      
Vardas343           Pavarde343          6      5      3      1      8      1      9      2      8      5      8      
Vardas344           Pavarde344          2      5      2      1      8      1      1      8      3      10     8      
Vardas345           Pavarde345          3      10     9      4      6      2      4      8      6      8      6      
Vardas346           Pavarde346          1      1      3      10     9      3      10     10     9      2      3      
Vardas347           Pavarde347          8      9      8      4      2      6      9      10     4      8      1      
Vardas348           Pavarde348          2      10     10     2      1      7      6      2      6      10     10     
Vardas349           Pavarde349          4      7      7      6      3      3      1      9      6      3      3      
Vardas350           Pavarde350          3      10     5      10     3      6      8      7      4      9      9      
Vardas351           Pavarde351          5      2      3      8      8      10     9      7      2      7      6      
Vardas352           Pavarde352          9      10     8      3      9      9      8      6      8      8      9      
Vardas353           Pavarde353          1      10     6      4      3      4      1      7      4      8      10     
Vardas354           Pavarde354          6      8      10     4      2      3      10     9      6      7      6      
Vardas355           Pavarde355          8      7      7      10     10     5      5      7      6      3      1      
Vardas356           Pavarde356          4      2      2      1      10     7      1      3      1      10     10     
Vardas357           Pavarde357          10     2      7      2      3      9      8      4      7      9      1      
Vardas358           Pavarde358          6      2      10     10     6      6      6      10     4      7      9      
Vardas359           Pavarde359          2      9      3      8      7      10     4      7      6      8      3      
Vardas360           Pavarde360          3      5      9      8      5      6      8      7      1      9      10     
Vardas361           Pavarde361          5      3      8      9      2      7      4      1      4      1      6      
Vardas362           Pavarde362          4      5      9      7      8      3      2      9      10     9      7      
Vardas363           Pavarde363          8      3      6      2      4      5      9      6      1      7      2      
Vardas364           Pavarde364          10     2      10     3      4      7      6      3      8      5      1      
Vardas365           Pavarde365          2      6      5      8      6      5      5      2      8      9      10     
Vardas366           Pavarde366          1      7      5      6      4      7      10     9      5      6      5      
Vardas367           Pavarde367          2      8      7      8      3      8      8      1      3      6      4      
Vardas368           Pavarde368          4      5      8      10     4      9      4      5      6      3      9      
Vardas369           Pavarde369          4      1      7      10     1      6      4      5      9      5      3      
Vardas370           Pavarde370          10     9      1      2      7      4      9      10     4      10     3      
Vardas371           Pavarde371          10     9      3      8      2      6      8      8      6      9      8      
Vardas372           Pavarde372          6      10     1      7      2      5      9      7      2      10     4      
Vardas373           Pavarde373          5      1      10     10     4      6      1      3      9      1      5      
Vardas374           Pavarde374          7      10     8      6      6      10     9      9      7      9      9      
Vardas375           Pavarde375          2      6      10     9      6      3      7      2      4      6      9      
Vardas376           Pavarde376          2      9      1      8      4      2      5      6      2      6      9      
Vardas377           Pavarde377          9      10     5      6      8      1      10     7      10     1      5      
Vardas378           Pavarde378          5      6      7      9      9      7      10     6      6      10     8      
Vardas379           Pavarde379          1      1      5      10     4      9      10     6      2      9      10     
Vardas380           Pavarde380          6      9      10     10     9      9      1      9      6      1      7      
Vardas381           Pavarde381          10     7      1      3      8      6      3      1      7      7      5      
Vardas382           Pavarde382          5      9      6      9      6      10     3      4      9      6      7      
Vardas383           Pavarde383          2      1      4      6      3      7      9      5      2      4      4      
Vardas384           Pavarde384          9      8      1      2      4      3      5      2      9      10     5      
Vardas385           Pavarde385          4      10     3      8      4      5      4      1      6      1      10     
